2026-02-07 10:36:55,872 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 4
- 6
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
notifications:
  enabled: true
  title: binary class experiment [4, 6]

2026-02-07 10:36:55,878 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-07 10:36:56,189 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /teamspace/studios/this_studio/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-07 10:37:00,272 - __main__ - INFO - Starting Task: Standard Training
2026-02-07 10:37:00,275 - training.engines.hybrid - INFO - HybridEngine using device: cpu
2026-02-07 10:37:00,276 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-07 10:37:00,277 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-07 10:37:00,294 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-07 10:37:00,300 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-07 10:37:00,319 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-07 10:40:22,177 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.1843 | Acc: 0.4700 | Grad: 1.36e+00 | Val Loss: 1.1271 | Val Acc: 0.4700 | LR: 5.00e-02
2026-02-07 10:43:51,211 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.1343 | Acc: 0.4660 | Grad: 1.12e+00 | Val Loss: 1.0894 | Val Acc: 0.4900 | LR: 5.00e-02
2026-02-07 10:47:18,436 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.0947 | Acc: 0.4680 | Grad: 1.00e+00 | Val Loss: 1.0579 | Val Acc: 0.4800 | LR: 5.00e-02
2026-02-07 10:50:50,644 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.0552 | Acc: 0.4700 | Grad: 9.60e-01 | Val Loss: 1.0335 | Val Acc: 0.5100 | LR: 5.00e-02
2026-02-07 10:54:16,058 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 1.0232 | Acc: 0.4930 | Grad: 9.85e-01 | Val Loss: 1.0133 | Val Acc: 0.5450 | LR: 5.00e-02
2026-02-07 10:57:50,077 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 1.0037 | Acc: 0.5230 | Grad: 7.91e-01 | Val Loss: 1.0046 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-07 11:01:20,303 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.9918 | Acc: 0.5700 | Grad: 7.15e-01 | Val Loss: 1.0016 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-07 11:04:45,016 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.9852 | Acc: 0.5750 | Grad: 7.28e-01 | Val Loss: 1.0022 | Val Acc: 0.5500 | LR: 5.00e-02
2026-02-07 11:08:19,234 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.9814 | Acc: 0.5640 | Grad: 6.94e-01 | Val Loss: 1.0041 | Val Acc: 0.4600 | LR: 5.00e-02
2026-02-07 11:11:46,857 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.9834 | Acc: 0.5280 | Grad: 5.99e-01 | Val Loss: 1.0086 | Val Acc: 0.4500 | LR: 5.00e-02
2026-02-07 11:15:23,946 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9795 | Acc: 0.5280 | Grad: 5.85e-01 | Val Loss: 1.0103 | Val Acc: 0.4550 | LR: 2.50e-02
