2026-02-07 10:36:11,388 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 2
- 6
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
notifications:
  enabled: true
  title: binary class experiment [2, 6]

2026-02-07 10:36:11,392 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-07 10:36:11,654 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /teamspace/studios/this_studio/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-07 10:36:15,052 - __main__ - INFO - Starting Task: Standard Training
2026-02-07 10:36:15,053 - training.engines.hybrid - INFO - HybridEngine using device: cpu
2026-02-07 10:36:15,054 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-07 10:36:15,054 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-07 10:36:15,067 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-07 10:36:15,069 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-07 10:36:15,075 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-07 10:39:22,466 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 0.9575 | Acc: 0.5680 | Grad: 9.36e-01 | Val Loss: 0.9666 | Val Acc: 0.5750 | LR: 5.00e-02
2026-02-07 10:42:54,318 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 0.9581 | Acc: 0.5740 | Grad: 8.60e-01 | Val Loss: 0.9647 | Val Acc: 0.5900 | LR: 5.00e-02
2026-02-07 10:46:20,676 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 0.9612 | Acc: 0.5690 | Grad: 9.18e-01 | Val Loss: 0.9689 | Val Acc: 0.5950 | LR: 5.00e-02
2026-02-07 10:49:42,015 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 0.9637 | Acc: 0.5640 | Grad: 9.05e-01 | Val Loss: 0.9657 | Val Acc: 0.5800 | LR: 5.00e-02
2026-02-07 10:53:04,904 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9588 | Acc: 0.5720 | Grad: 9.23e-01 | Val Loss: 0.9611 | Val Acc: 0.5800 | LR: 5.00e-02
2026-02-07 10:56:28,580 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.9552 | Acc: 0.5820 | Grad: 9.13e-01 | Val Loss: 0.9591 | Val Acc: 0.5850 | LR: 5.00e-02
2026-02-07 10:59:49,955 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.9509 | Acc: 0.5950 | Grad: 9.18e-01 | Val Loss: 0.9581 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-07 11:03:18,907 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.9446 | Acc: 0.6050 | Grad: 9.45e-01 | Val Loss: 0.9557 | Val Acc: 0.6150 | LR: 5.00e-02
2026-02-07 11:06:35,943 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.9425 | Acc: 0.6010 | Grad: 7.50e-01 | Val Loss: 0.9533 | Val Acc: 0.6050 | LR: 5.00e-02
2026-02-07 11:10:04,801 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.9374 | Acc: 0.6040 | Grad: 9.01e-01 | Val Loss: 0.9551 | Val Acc: 0.5950 | LR: 5.00e-02
2026-02-07 11:13:32,667 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9339 | Acc: 0.6190 | Grad: 9.04e-01 | Val Loss: 0.9544 | Val Acc: 0.5850 | LR: 5.00e-02
