2026-02-03 22:54:12,952 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: mnist
data_path: ./data
n_train: 200
n_test: 50
n_val: 50
digits:
- 3
- 8
target_dim: 16
preprocessors:
- pca_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
notifications:
  enabled: false
  title: QCNN Training

2026-02-03 22:54:12,952 - data.dataset.mnist_dataset - INFO - Loading MNIST data from ./data
2026-02-03 22:54:13,027 - __main__ - INFO - Starting Task: Standard Training
2026-02-03 22:54:13,039 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-03 22:54:13,040 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-03 22:54:13,040 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-03 22:54:13,042 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-03 22:54:13,043 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-03 22:54:13,083 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-03 22:54:13,084 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-03 22:54:19,449 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.5734 | Acc: 0.2450 | Grad: 2.98e+00 | Val Loss: 1.3586 | Val Acc: 0.2800 | LR: 5.00e-02
2026-02-03 22:54:27,644 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.3397 | Acc: 0.2700 | Grad: 2.48e+00 | Val Loss: 1.1803 | Val Acc: 0.4800 | LR: 5.00e-02
2026-02-03 22:54:39,165 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.1440 | Acc: 0.5100 | Grad: 2.06e+00 | Val Loss: 1.0455 | Val Acc: 0.5800 | LR: 5.00e-02
2026-02-03 22:54:51,763 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.0211 | Acc: 0.5750 | Grad: 1.84e+00 | Val Loss: 0.9641 | Val Acc: 0.6600 | LR: 5.00e-02
2026-02-03 22:55:04,375 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9349 | Acc: 0.6250 | Grad: 1.65e+00 | Val Loss: 0.9153 | Val Acc: 0.6600 | LR: 5.00e-02
2026-02-03 22:55:17,995 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.8805 | Acc: 0.6550 | Grad: 1.75e+00 | Val Loss: 0.8631 | Val Acc: 0.6800 | LR: 5.00e-02
2026-02-03 22:55:30,688 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.8358 | Acc: 0.6550 | Grad: 1.90e+00 | Val Loss: 0.8234 | Val Acc: 0.7000 | LR: 5.00e-02
2026-02-03 22:55:43,614 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.8017 | Acc: 0.6950 | Grad: 1.72e+00 | Val Loss: 0.7863 | Val Acc: 0.7000 | LR: 5.00e-02
2026-02-03 22:55:56,768 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.7683 | Acc: 0.7100 | Grad: 1.94e+00 | Val Loss: 0.7453 | Val Acc: 0.7200 | LR: 5.00e-02
2026-02-03 22:56:11,178 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.7413 | Acc: 0.7350 | Grad: 1.86e+00 | Val Loss: 0.7113 | Val Acc: 0.7200 | LR: 5.00e-02
2026-02-03 22:56:26,653 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.7118 | Acc: 0.7500 | Grad: 2.00e+00 | Val Loss: 0.6794 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:56:44,021 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.6887 | Acc: 0.7650 | Grad: 1.54e+00 | Val Loss: 0.6546 | Val Acc: 0.7600 | LR: 5.00e-02
2026-02-03 22:57:02,818 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.6665 | Acc: 0.7900 | Grad: 1.56e+00 | Val Loss: 0.6316 | Val Acc: 0.8000 | LR: 5.00e-02
2026-02-03 22:57:20,686 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.6481 | Acc: 0.7950 | Grad: 1.55e+00 | Val Loss: 0.6122 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 22:57:38,486 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 0.6339 | Acc: 0.7850 | Grad: 1.44e+00 | Val Loss: 0.5881 | Val Acc: 0.8800 | LR: 5.00e-02
2026-02-03 22:57:56,461 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 0.6148 | Acc: 0.8150 | Grad: 1.46e+00 | Val Loss: 0.5836 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-03 22:58:14,498 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 0.6009 | Acc: 0.8250 | Grad: 1.52e+00 | Val Loss: 0.5624 | Val Acc: 0.8800 | LR: 5.00e-02
2026-02-03 22:58:32,253 - training.engines.hybrid - INFO - Epoch 18/100, Loss: 0.5858 | Acc: 0.8300 | Grad: 1.75e+00 | Val Loss: 0.5533 | Val Acc: 0.8800 | LR: 5.00e-02
