2026-02-03 22:54:21,399 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: mnist
data_path: ./data
n_train: 200
n_test: 50
n_val: 50
digits:
- 6
- 9
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
notifications:
  enabled: false
  title: QCNN Training

2026-02-03 22:54:21,399 - data.dataset.mnist_dataset - INFO - Loading MNIST data from ./data
2026-02-03 22:54:21,456 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /Users/xunflowerrr/Main/Work/GithubRepository/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_mnist_16.pth
2026-02-03 22:54:22,853 - __main__ - INFO - Starting Task: Standard Training
2026-02-03 22:54:22,854 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-03 22:54:22,855 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-03 22:54:22,855 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-03 22:54:22,859 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-03 22:54:22,860 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-03 22:54:22,867 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-03 22:54:22,868 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-03 22:54:32,834 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 0.7012 | Acc: 0.8450 | Grad: 2.21e+00 | Val Loss: 0.7501 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:54:44,790 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 0.6536 | Acc: 0.8500 | Grad: 2.50e+00 | Val Loss: 0.7154 | Val Acc: 0.7200 | LR: 5.00e-02
2026-02-03 22:54:56,821 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 0.6229 | Acc: 0.8500 | Grad: 2.00e+00 | Val Loss: 0.7080 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:55:08,948 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 0.6112 | Acc: 0.8550 | Grad: 2.34e+00 | Val Loss: 0.6937 | Val Acc: 0.7600 | LR: 5.00e-02
2026-02-03 22:55:21,922 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.6026 | Acc: 0.8500 | Grad: 2.81e+00 | Val Loss: 0.6879 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:55:34,897 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.5916 | Acc: 0.8450 | Grad: 2.44e+00 | Val Loss: 0.6844 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:55:47,537 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.5862 | Acc: 0.8500 | Grad: 2.37e+00 | Val Loss: 0.6783 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:56:00,509 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.5877 | Acc: 0.8550 | Grad: 2.61e+00 | Val Loss: 0.6738 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:56:14,801 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.5852 | Acc: 0.8500 | Grad: 2.71e+00 | Val Loss: 0.6629 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 22:56:30,581 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.5852 | Acc: 0.8550 | Grad: 2.63e+00 | Val Loss: 0.6677 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 22:56:48,127 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.5872 | Acc: 0.8550 | Grad: 2.55e+00 | Val Loss: 0.6738 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 22:57:06,202 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.5883 | Acc: 0.8550 | Grad: 2.36e+00 | Val Loss: 0.6771 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 22:57:24,768 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.5940 | Acc: 0.8700 | Grad: 2.52e+00 | Val Loss: 0.6742 | Val Acc: 0.8000 | LR: 2.50e-02
2026-02-03 22:57:41,692 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.5997 | Acc: 0.8800 | Grad: 2.31e+00 | Val Loss: 0.6789 | Val Acc: 0.7600 | LR: 2.50e-02
2026-02-03 22:58:00,445 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 0.5990 | Acc: 0.8700 | Grad: 2.14e+00 | Val Loss: 0.6681 | Val Acc: 0.8000 | LR: 2.50e-02
2026-02-03 22:58:17,821 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 0.5989 | Acc: 0.8700 | Grad: 2.09e+00 | Val Loss: 0.6778 | Val Acc: 0.7800 | LR: 2.50e-02
2026-02-03 22:58:36,537 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 0.5970 | Acc: 0.8700 | Grad: 2.43e+00 | Val Loss: 0.6672 | Val Acc: 0.8000 | LR: 1.25e-02
