2026-02-07 10:34:36,015 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 0
- 6
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
notifications:
  enabled: true
  title: binary class experiment [0, 6]

2026-02-07 10:34:36,017 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-07 10:34:36,131 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /teamspace/studios/this_studio/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-07 10:34:37,730 - __main__ - INFO - Starting Task: Standard Training
2026-02-07 10:34:37,730 - training.engines.hybrid - INFO - HybridEngine using device: cpu
2026-02-07 10:34:37,731 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-07 10:34:37,731 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-07 10:34:37,738 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-07 10:34:37,739 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-07 10:34:37,743 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-07 10:36:18,851 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.1160 | Acc: 0.4650 | Grad: 1.34e+00 | Val Loss: 1.0498 | Val Acc: 0.5000 | LR: 5.00e-02
2026-02-07 10:39:15,290 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.0843 | Acc: 0.4910 | Grad: 1.25e+00 | Val Loss: 1.0140 | Val Acc: 0.5250 | LR: 5.00e-02
2026-02-07 10:42:41,512 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.0486 | Acc: 0.5190 | Grad: 1.07e+00 | Val Loss: 0.9848 | Val Acc: 0.5600 | LR: 5.00e-02
2026-02-07 10:46:00,806 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.0181 | Acc: 0.5420 | Grad: 1.04e+00 | Val Loss: 0.9629 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-07 10:49:30,090 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9962 | Acc: 0.5520 | Grad: 9.86e-01 | Val Loss: 0.9407 | Val Acc: 0.6300 | LR: 5.00e-02
2026-02-07 10:53:00,027 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.9746 | Acc: 0.5650 | Grad: 8.39e-01 | Val Loss: 0.9246 | Val Acc: 0.6300 | LR: 5.00e-02
2026-02-07 10:56:25,732 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.9587 | Acc: 0.5770 | Grad: 9.23e-01 | Val Loss: 0.9168 | Val Acc: 0.6250 | LR: 5.00e-02
2026-02-07 10:59:47,616 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.9431 | Acc: 0.5960 | Grad: 7.37e-01 | Val Loss: 0.9112 | Val Acc: 0.6550 | LR: 5.00e-02
2026-02-07 11:03:14,469 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.9359 | Acc: 0.5980 | Grad: 7.06e-01 | Val Loss: 0.9034 | Val Acc: 0.6600 | LR: 5.00e-02
2026-02-07 11:06:42,119 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.9298 | Acc: 0.5980 | Grad: 5.72e-01 | Val Loss: 0.8941 | Val Acc: 0.6750 | LR: 5.00e-02
2026-02-07 11:10:05,445 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9264 | Acc: 0.5830 | Grad: 5.96e-01 | Val Loss: 0.8941 | Val Acc: 0.6450 | LR: 5.00e-02
2026-02-07 11:13:32,489 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.9237 | Acc: 0.5890 | Grad: 5.39e-01 | Val Loss: 0.8907 | Val Acc: 0.6450 | LR: 5.00e-02
2026-02-07 11:17:32,099 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.9217 | Acc: 0.5670 | Grad: 5.55e-01 | Val Loss: 0.8914 | Val Acc: 0.6100 | LR: 5.00e-02
2026-02-07 11:20:55,116 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.9164 | Acc: 0.5930 | Grad: 6.31e-01 | Val Loss: 0.8782 | Val Acc: 0.6450 | LR: 5.00e-02
2026-02-07 11:24:19,914 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 0.9126 | Acc: 0.5960 | Grad: 5.90e-01 | Val Loss: 0.8717 | Val Acc: 0.6500 | LR: 5.00e-02
2026-02-07 11:27:46,521 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 0.9071 | Acc: 0.6020 | Grad: 7.72e-01 | Val Loss: 0.8675 | Val Acc: 0.6600 | LR: 5.00e-02
2026-02-07 11:31:05,984 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 0.8999 | Acc: 0.6230 | Grad: 6.82e-01 | Val Loss: 0.8585 | Val Acc: 0.6800 | LR: 5.00e-02
2026-02-07 11:34:22,240 - training.engines.hybrid - INFO - Epoch 18/100, Loss: 0.8918 | Acc: 0.6310 | Grad: 7.90e-01 | Val Loss: 0.8457 | Val Acc: 0.6800 | LR: 5.00e-02
2026-02-07 11:37:45,521 - training.engines.hybrid - INFO - Epoch 19/100, Loss: 0.8838 | Acc: 0.6340 | Grad: 6.28e-01 | Val Loss: 0.8316 | Val Acc: 0.6950 | LR: 5.00e-02
2026-02-07 11:41:13,797 - training.engines.hybrid - INFO - Epoch 20/100, Loss: 0.8719 | Acc: 0.6490 | Grad: 7.12e-01 | Val Loss: 0.8235 | Val Acc: 0.6900 | LR: 5.00e-02
